field_path,coverage_pct,present_docs,types_seen,array_elem_types,examples
env_local_scale.term,100.0,13006,object:13006,,"{""id"": ""ENVO:01000843"", ""name"": ""area of evergreen forest"", ""type"": ""nmdc:OntologyClass""} | {""id"": ""ENVO:00000114"", ""name"": ""agricultural field"", ""type"": ""nmdc:OntologyClass""} | {""id"": ""ENVO:01000888"", ""name"": ""area of gramanoid or herbaceous vegetation"", ""type"": ""nmdc:OntologyClass""}"
env_local_scale.term.id,100.0,13006,string:13006,,"""ENVO:01000843"" | ""ENVO:00000114"" | ""ENVO:01000888"""
env_local_scale.term.name,92.742,12062,string:12062,,"""area of evergreen forest"" | ""agricultural field"" | ""area of gramanoid or herbaceous vegetation"""
env_local_scale.term.type,100.0,13006,string:13006,,"""nmdc:OntologyClass"""
env_local_scale.type,100.0,13006,string:13006,,"""nmdc:ControlledIdentifiedTermValue"""
env_medium,100.0,13006,object:13006,,"{""term"": {""id"": ""ENVO:00001998"", ""name"": ""soil"", ""type"": ""nmdc:OntologyClass""}, ""type"": ""nmdc:ControlledIdentifiedTer… | {""has_raw_value"": ""farm soil [ENVO:00005749]"", ""term"": {""id"": ""ENVO:00005749"", ""name"": ""farm soil"", ""type"": ""nmdc:Ont… | {""has_raw_value"": ""field soil [ENVO:00005755]"", ""term"": {""id"": ""ENVO:00005755"", ""name"": ""field soil"", ""type"": ""nmdc:O…"
env_medium.has_raw_value,59.811,7779,string:7779,,"""farm soil [ENVO:00005749]"" | ""field soil [ENVO:00005755]"" | ""ENVO_00002042"""
env_medium.term,100.0,13006,object:13006,,"{""id"": ""ENVO:00001998"", ""name"": ""soil"", ""type"": ""nmdc:OntologyClass""} | {""id"": ""ENVO:00005749"", ""name"": ""farm soil"", ""type"": ""nmdc:OntologyClass""} | {""id"": ""ENVO:00005755"", ""name"": ""field soil"", ""type"": ""nmdc:OntologyClass""}"
env_medium.term.id,100.0,13006,string:13006,,"""ENVO:00001998"" | ""ENVO:00005749"" | ""ENVO:00005755"""
env_medium.term.name,94.303,12265,string:12265,,"""soil"" | ""farm soil"" | ""field soil"""
env_medium.term.type,100.0,13006,string:13006,,"""nmdc:OntologyClass"""
env_medium.type,100.0,13006,string:13006,,"""nmdc:ControlledIdentifiedTermValue"""
env_package,50.369,6551,object:6551,,"{""has_raw_value"": ""soil"", ""type"": ""nmdc:TextValue""} | {""has_raw_value"": ""water"", ""type"": ""nmdc:TextValue""} | {""has_raw_value"": ""plant-associated"", ""type"": ""nmdc:TextValue""}"
env_package.has_raw_value,50.369,6551,string:6551,,"""soil"" | ""water"" | ""plant-associated"""
env_package.type,50.369,6551,string:6551,,"""nmdc:TextValue"""
experimental_factor,3.737,486,object:486,,"{""has_raw_value"": ""time series design [EFO:EFO_0001779]; response to water deprivation [GO:GO_0009414]"", ""term"": {""id… | {""has_raw_value"": ""growth condition design [efo:EFO_0001759], time series design [EFO:EFO_0001779], scanned image [EF… | {""has_raw_value"": ""time series design [EFO:EFO_0001779]; control [EFO:EFO_0001461]"", ""term"": {""id"": ""EFO:EFO_0001779""…"
experimental_factor.has_raw_value,3.737,486,string:486,,"""time series design [EFO:EFO_0001779]; response to water deprivation [GO:GO_0009414]"" | ""growth condition design [efo:EFO_0001759], time series design [EFO:EFO_0001779], scanned image [EFO:EFO_0001779], me… | ""time series design [EFO:EFO_0001779]; control [EFO:EFO_0001461]"""
experimental_factor.term,3.145,409,object:409,,"{""id"": ""EFO:EFO_0001779"", ""name"": ""time series design"", ""type"": ""nmdc:OntologyClass""} | {""id"": ""efo:EFO_0001759"", ""name"": ""growth condition design"", ""type"": ""nmdc:OntologyClass""} | {""id"": ""EFO:0000718"", ""name"": ""exposure temperature"", ""type"": ""nmdc:OntologyClass""}"
experimental_factor.term.id,3.145,409,string:409,,"""EFO:EFO_0001779"" | ""efo:EFO_0001759"" | ""EFO:0000718"""
experimental_factor.term.name,3.145,409,string:409,,"""time series design"" | ""growth condition design"" | ""exposure temperature"""
experimental_factor.term.type,3.145,409,string:409,,"""nmdc:OntologyClass"""
experimental_factor.type,3.737,486,string:486,,"""nmdc:ControlledTermValue"""
experimental_factor_other,25.926,3372,string:3372,,"""Restored Prairie"" | ""Switchgrass"" | ""Undisturbed Control"""
fertilizer_regm,1.476,192,array:192,object:192,"[{""has_raw_value"": ""nitrogen free"", ""type"": ""nmdc:TextValue""}] | [{""has_raw_value"": ""standard fertilization"", ""type"": ""nmdc:TextValue""}]"
fertilizer_regm[].has_raw_value,1.476,192,string:192,,"""nitrogen free"" | ""standard fertilization"""
fertilizer_regm[].type,1.476,192,string:192,,"""nmdc:TextValue"""
geo_loc_name,99.754,12974,object:12974,,"{""has_raw_value"": ""USA: Wyoming, Yellowstone National Park"", ""type"": ""nmdc:TextValue""} | {""has_raw_value"": ""USA: Michigan, Delton"", ""type"": ""nmdc:TextValue""} | {""has_raw_value"": ""USA: Alaska, Delta Junction"", ""type"": ""nmdc:TextValue""}"
geo_loc_name.has_raw_value,99.754,12974,string:12974,,"""USA: Wyoming, Yellowstone National Park"" | ""USA: Michigan, Delton"" | ""USA: Alaska, Delta Junction"""
geo_loc_name.type,99.754,12974,string:12974,,"""nmdc:TextValue"""
gold_biosample_identifiers,64.716,8417,array:8417,string:4739,"[""gold:Gb0256152""] | [] | [""gold:Gb0255962""]"
gravidity,0.469,61,object:61,,"{""has_raw_value"": ""no"", ""type"": ""nmdc:TextValue""}"
gravidity.has_raw_value,0.469,61,string:61,,"""no"""
gravidity.type,0.469,61,string:61,,"""nmdc:TextValue"""
growth_facil,30.248,3934,object:3934,,"{""has_raw_value"": ""field"", ""type"": ""nmdc:ControlledTermValue""} | {""has_raw_value"": ""field"", ""term"": {""id"": ""ENVO:01000352"", ""name"": ""field"", ""type"": ""nmdc:OntologyClass""}, ""type"": ""n… | {""has_raw_value"": ""field_incubation"", ""type"": ""nmdc:ControlledTermValue""}"
growth_facil.has_raw_value,30.248,3934,string:3934,,"""field"" | ""field_incubation"" | ""lab_incubation"""
growth_facil.term,1.046,136,object:136,,"{""id"": ""ENVO:01000352"", ""name"": ""field"", ""type"": ""nmdc:OntologyClass""}"
growth_facil.term.id,1.046,136,string:136,,"""ENVO:01000352"""
growth_facil.term.name,1.046,136,string:136,,"""field"""
growth_facil.term.type,1.046,136,string:136,,"""nmdc:OntologyClass"""
growth_facil.type,30.248,3934,string:3934,,"""nmdc:ControlledTermValue"""
habitat,22.413,2915,string:2915,,"""Freshwater"" | ""River sediment"" | ""freshwater"""
host_age,1.276,166,object:166,,"{""has_numeric_value"": 29.0, ""has_raw_value"": ""29 days"", ""has_unit"": ""days"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 12.0, ""has_raw_value"": ""12 years"", ""has_unit"": ""years"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 6.5, ""has_raw_value"": ""6.5 years"", ""has_unit"": ""years"", ""type"": ""nmdc:QuantityValue""}"
host_age.has_numeric_value,1.276,166,number:166,,29.0 | 12.0 | 6.5
host_age.has_raw_value,1.276,166,string:166,,"""29 days"" | ""12 years"" | ""6.5 years"""
host_age.has_unit,1.276,166,string:166,,"""days"" | ""years"""
host_age.type,1.276,166,string:166,,"""nmdc:QuantityValue"""
host_body_habitat,0.469,61,object:61,,"{""has_raw_value"": ""gastrointestinal tract"", ""type"": ""nmdc:TextValue""}"
host_body_habitat.has_raw_value,0.469,61,string:61,,"""gastrointestinal tract"""
host_body_habitat.type,0.469,61,string:61,,"""nmdc:TextValue"""
host_body_site,0.469,61,object:61,,"{""has_raw_value"": ""large intestine [UBERON:0000059]"", ""term"": {""id"": ""UBERON:0000059"", ""name"": ""large intestine"", ""ty… | {""has_raw_value"": ""cecum [UBERON:0001153]"", ""term"": {""id"": ""UBERON:0001153"", ""name"": ""cecum"", ""type"": ""nmdc:OntologyC…"
host_body_site.has_raw_value,0.469,61,string:61,,"""large intestine [UBERON:0000059]"" | ""cecum [UBERON:0001153]"""
host_body_site.term,0.469,61,object:61,,"{""id"": ""UBERON:0000059"", ""name"": ""large intestine"", ""type"": ""nmdc:OntologyClass""} | {""id"": ""UBERON:0001153"", ""name"": ""cecum"", ""type"": ""nmdc:OntologyClass""}"
host_body_site.term.id,0.469,61,string:61,,"""UBERON:0000059"" | ""UBERON:0001153"""
host_body_site.term.name,0.469,61,string:61,,"""large intestine"" | ""cecum"""
host_body_site.term.type,0.469,61,string:61,,"""nmdc:OntologyClass"""
host_body_site.type,0.469,61,string:61,,"""nmdc:ControlledTermValue"""
host_common_name,2.753,358,object:358,,"{""has_raw_value"": ""switchgrass"", ""type"": ""nmdc:TextValue""} | {""has_raw_value"": ""stiff brome"", ""type"": ""nmdc:TextValue""} | {""has_raw_value"": ""miscanthus"", ""type"": ""nmdc:TextValue""}"
host_common_name.has_raw_value,2.753,358,string:358,,"""switchgrass"" | ""stiff brome"" | ""miscanthus"""
host_common_name.type,2.753,358,string:358,,"""nmdc:TextValue"""
host_diet,0.469,61,array:61,object:61,"[{""has_raw_value"": ""Purina OM"", ""type"": ""nmdc:TextValue""}] | [{""has_raw_value"": ""Canidae dry lamb and salmon"", ""type"": ""nmdc:TextValue""}] | [{""has_raw_value"": ""Teklad Diet #TD06415 high fat"", ""type"": ""nmdc:TextValue""}]"
host_diet[].has_raw_value,0.469,61,string:61,,"""Purina OM"" | ""Canidae dry lamb and salmon"" | ""Teklad Diet #TD06415 high fat"""
host_diet[].type,0.469,61,string:61,,"""nmdc:TextValue"""
