sample_id,source,region,is_us,is_ocean,elev_before,elev_after,elev_provider,place_before,place_after,place_providers,marine_before_count,marine_after_count,marine_improvement,marine_providers,marine_quality,weather_before_count,weather_after_count,weather_improvement,weather_providers,weather_quality,soil_before_count,soil_after_count,soil_improvement,soil_providers,soil_quality
nmdc:bsm-11-5hxcgv58,nmdc,CONUS,True,False,505.5,507.021331787,usgs_3dep,"USA: Michigan, University of Notre Dame Environmental Research Center","USA: Michigan, University of Notre Dame Environmental Research Center",google,3,4,True,"esa_cci, gebco",satellite_l3,1,7,True,"open_meteo, meteostat",,2,8,True,ISRIC SoilGrids,0.875
nmdc:bsm-11-8cxnkr78,nmdc,CONUS,True,False,38.6,39.469776154,usgs_3dep,,"United States: Georgia, Hopeful","osm, google",3,4,True,"esa_cci, gebco",satellite_l3,1,7,True,"open_meteo, meteostat",,3,8,True,ISRIC SoilGrids,0.875
nmdc:bsm-11-y3s6ng90,nmdc,CONUS,True,False,500.0,372.614593506,usgs_3dep,"USA: Michigan, Lake City","USA: Michigan, Lake City",google,1,2,True,"esa_cci, gebco",satellite_l3,0,7,True,"open_meteo, meteostat",,0,7,True,ISRIC SoilGrids,0.875
nmdc:bsm-11-xvkq4485,nmdc,HI,True,False,1662.7,1661.7734375,usgs_3dep,"USA: Hawaii, Puu Makaala Natural Area Reserve","USA: Hawaii, Puu Makaala Natural Area Reserve","osm, google",3,4,True,"esa_cci, gebco",satellite_l3,1,7,True,"open_meteo, meteostat",,2,8,True,ISRIC SoilGrids,0.875
nmdc:bsm-11-yqd69p22,nmdc,CONUS,True,False,372.0,372.634613037,usgs_3dep,"USA: Michigan, Lake City","USA: Michigan, Lake City",google,1,2,True,"esa_cci, gebco",satellite_l3,0,7,True,"open_meteo, meteostat",,0,7,True,ISRIC SoilGrids,0.875
nmdc:bsm-11-pwk88919,nmdc,CONUS,True,False,432.0,414.638916016,usgs_3dep,USA: California: Angelo Coastal Reserve,"USA: California: Angelo Coastal Reserve, Laytonville","osm, google",1,2,True,"esa_cci, gebco",satellite_l3,0,7,True,"open_meteo, meteostat",,0,8,True,ISRIC SoilGrids,0.875
Gb0345592,gold,,False,False,,10.78531455993652,google_elevation,"Canada: Abbotsford, British Columbia","Canada: Abbotsford, British Columbia","osm, google",0,2,True,"esa_cci, gebco",satellite_l3,0,7,True,"open_meteo, meteostat",,0,7,True,ISRIC SoilGrids,0.875
Gb0376255,gold,CONUS,True,False,,511.70098877,usgs_3dep,"USA: Nebraska, Central City","USA: Nebraska, Central City","osm, google",0,2,True,"esa_cci, gebco",satellite_l3,0,7,True,"open_meteo, meteostat",,0,7,True,ISRIC SoilGrids,0.875
Gb0196536,gold,CONUS,True,False,,176.917007446,usgs_3dep,USA: Michigan,USA: Michigan,"osm, google",1,2,True,"esa_cci, gebco",satellite_l3,0,7,True,"open_meteo, meteostat",,0,7,True,ISRIC SoilGrids,0.875
Gb0283609,gold,CONUS,True,False,,122.318222046,usgs_3dep,"USA: California, San Francisco","USA: California, San Francisco","osm, google",0,2,True,"esa_cci, gebco",satellite_l3,0,7,True,"open_meteo, meteostat",,0,7,True,ISRIC SoilGrids,0.875
Gb0286603,gold,,False,False,,6.75548267364502,google_elevation,"China: Hangzhou, Zhejiang","China: Hangzhou, Zhejiang",google,0,2,True,"esa_cci, gebco",satellite_l3,0,7,True,"open_meteo, meteostat",,0,7,True,ISRIC SoilGrids,0.875
Gb0225152,gold,CONUS,True,False,,14.603938103,usgs_3dep,USA: University of South Florida,"USA: University of South Florida, Tampa","osm, google",0,0,False,,,0,0,False,,,0,7,True,ISRIC SoilGrids,0.875
Gb0200602,gold,,False,False,,3.918935298919678,google_elevation,China: Zhejiang,"China: Zhejiang, Taizhou",google,0,2,True,"esa_cci, gebco",satellite_l3,0,7,True,"open_meteo, meteostat",,0,7,True,ISRIC SoilGrids,0.875
Gb0392107,gold,,False,True,,-397.2537231445312,google_elevation,Antarctica: West Antarctic Peninsula,Antarctica: West Antarctic Peninsula,"osm, google",1,2,True,"esa_cci, gebco",satellite_l3,0,7,True,"open_meteo, meteostat",,0,0,False,,
Gb0197570,gold,,False,False,,15.24432373046875,google_elevation,Sweden,"Sweden: Stockholms län, Sweden","osm, google",0,1,True,gebco,static_dataset,0,7,True,open_meteo,,0,7,True,ISRIC SoilGrids,0.875
Gb0342217,gold,CONUS,True,False,,226.339157104,usgs_3dep,"USA: Illinois, Warrenville","USA: Illinois, Warrenville","osm, google",1,2,True,"esa_cci, gebco",satellite_l3,0,7,True,"open_meteo, meteostat",,0,7,True,ISRIC SoilGrids,0.875
Gb0139030,gold,CONUS,True,False,,422.606781006,usgs_3dep,"USA: Minnesota, Marcel Experimental Forest","USA: Minnesota, Marcel Experimental Forest",google,1,2,True,"esa_cci, gebco",satellite_l3,0,7,True,"open_meteo, meteostat",,0,7,True,ISRIC SoilGrids,0.875
Gb0237709,gold,,False,False,,6440.19873046875,google_elevation,"China: Ngari, Tibet","China: Ngari, Tibet","osm, google",1,2,True,"esa_cci, gebco",satellite_l3,0,7,True,open_meteo,,0,7,True,ISRIC SoilGrids,0.875
Gb0332195,gold,CONUS,True,False,,261.323516846,usgs_3dep,"USA: Michigan, Lansing","USA: Michigan, Lansing","osm, google",0,0,False,,,0,0,False,,,0,7,True,ISRIC SoilGrids,0.875
Gb0149282,gold,CONUS,True,False,,1237.897827148,usgs_3dep,USA: Utah,"USA: Utah, Moab","osm, google",0,2,True,"esa_cci, gebco",satellite_l3,0,7,True,"open_meteo, meteostat",,0,7,True,ISRIC SoilGrids,0.875
Gb0233183,gold,CONUS,True,False,,14.603938103,usgs_3dep,USA: University of South Florida,"USA: University of South Florida, Tampa","osm, google",0,0,False,,,0,0,False,,,0,7,True,ISRIC SoilGrids,0.875
Gb0260263,gold,CONUS,True,False,,41.759223938,usgs_3dep,"USA: Massachusetts, Deerfield","USA: Massachusetts, Deerfield",google,0,2,True,"esa_cci, gebco",satellite_l3,0,7,True,"open_meteo, meteostat",,0,8,True,ISRIC SoilGrids,0.875
Gb0258645,gold,,False,False,,-24.0,google_elevation,China: Bohai Sea,China: Bohai Sea,"osm, google",1,2,True,"esa_cci, gebco",satellite_l3,0,7,True,open_meteo,,0,7,True,ISRIC SoilGrids,0.875
Gb0335139,gold,CONUS,True,False,,226.261581421,usgs_3dep,"USA: Illinois, DuPage County","USA: Illinois, DuPage County","osm, google",1,2,True,"esa_cci, gebco",satellite_l3,0,7,True,"open_meteo, meteostat",,0,9,True,ISRIC SoilGrids,1.0
Gb0339871,gold,CONUS,True,False,,17.463020325,usgs_3dep,"USA: Virginia, Blacksburg","USA: Virginia, Blacksburg",google,0,2,True,"esa_cci, gebco",satellite_l3,0,7,True,"open_meteo, meteostat",,0,7,True,ISRIC SoilGrids,0.875
Gb0246702,gold,,False,False,,-430.1321411132812,google_elevation,Canada: British Columbia,Canada: British Columbia,google,0,2,True,"esa_cci, gebco",satellite_l3,0,7,True,"open_meteo, meteostat",,0,7,True,ISRIC SoilGrids,0.875
Gb0306976,gold,CONUS,True,False,,317.337646484,usgs_3dep,USA: Wisconsin,"USA: Wisconsin, Arlington",google,1,2,True,"esa_cci, gebco",satellite_l3,0,7,True,"open_meteo, meteostat",,0,8,True,ISRIC SoilGrids,0.875
Gb0310948,gold,CONUS,True,False,,2209.209960938,usgs_3dep,USA: New Mexico,"USA: New Mexico, Los Alamos","osm, google",0,2,True,"esa_cci, gebco",satellite_l3,0,7,True,"open_meteo, meteostat",,0,7,True,ISRIC SoilGrids,0.875
Gb0340601,gold,,False,False,,2467.507568359375,google_elevation,China: Yunnan,"China: Yunnan, Longmen","osm, google",0,2,True,"esa_cci, gebco",satellite_l3,0,7,True,open_meteo,,0,7,True,ISRIC SoilGrids,0.875
Gb0248799,gold,CONUS,True,False,,57.703998566,usgs_3dep,USA: Alabama,"USA: Alabama, Eufaula","osm, google",0,2,True,"esa_cci, gebco",satellite_l3,0,7,True,"open_meteo, meteostat",,0,7,True,ISRIC SoilGrids,0.875
Gb0208707,gold,CONUS,True,False,,316.3828125,usgs_3dep,"USA: Minnesota, Rochester","USA: Minnesota, Rochester","osm, google",0,2,True,"esa_cci, gebco",satellite_l3,0,7,True,"open_meteo, meteostat",,0,7,True,ISRIC SoilGrids,0.875
Gb0146397,gold,,False,False,,2.596482276916504,google_elevation,Denmark: Copenhagen,"Denmark: Copenhagen, København",google,0,2,True,"esa_cci, gebco",satellite_l3,0,7,True,open_meteo,,0,8,True,ISRIC SoilGrids,0.875
Gb0179708,gold,,False,False,,637.0,google_elevation,Canada: Alberta,"Canada: Alberta, Town of Vegreville","osm, google",0,2,True,"esa_cci, gebco",satellite_l3,0,7,True,"open_meteo, meteostat",,0,7,True,ISRIC SoilGrids,0.875
Gb0207900,gold,CONUS,True,False,,5.755243778,usgs_3dep,USA: California,"USA: California, Avalon","osm, google",0,2,True,"esa_cci, gebco",satellite_l3,0,7,True,"open_meteo, meteostat",,0,7,True,ISRIC SoilGrids,0.875
Gb0393901,gold,CONUS,True,False,,355.171081543,usgs_3dep,"USA: Arizona, Tempe","USA: Arizona, Tempe","osm, google",0,2,True,"esa_cci, gebco",satellite_l3,0,7,True,"open_meteo, meteostat",,0,7,True,ISRIC SoilGrids,0.875
Gb0273124,gold,,False,False,,1095.123779296875,google_elevation,Cameroon: Lysoka,"Cameroon: Lysoka, Buea","osm, google",0,0,False,,,0,0,False,,,0,7,True,ISRIC SoilGrids,0.875
